Date,"Device acquisition (All devices, All events, Per interval, Daily): All countries / regions","Device acquisition (All devices, All events, Per interval, Daily): Nigeria","Device acquisition (All devices, All events, Per interval, Daily): Germany","Device acquisition (All devices, All events, Per interval, Daily): United Kingdom","Device acquisition (All devices, All events, Per interval, Daily): Kenya",Notes
"Aug 1, 2025",0,0,0,0,0,
"Aug 2, 2025",0,0,0,0,0,
"Aug 3, 2025",0,0,0,0,0,
"Aug 4, 2025",0,0,0,0,0,
"Aug 5, 2025",0,0,0,0,0,
"Aug 6, 2025",0,0,0,0,0,
"Aug 7, 2025",0,0,0,0,0,Rollout of release: Started rollout of 6 (2.4.8) at 100%.
"Aug 8, 2025",0,0,0,0,0,
"Aug 9, 2025",0,0,0,0,0,
"Aug 10, 2025",0,0,0,0,0,
"Aug 11, 2025",0,0,0,0,0,
"Aug 12, 2025",0,0,0,0,0,
"Aug 13, 2025",0,0,0,0,0,
"Aug 14, 2025",0,0,0,0,0,
"Aug 15, 2025",0,0,0,0,0,Rollout of release: Started rollout of 7 (2.5.2) at 100%.
"Aug 16, 2025",9,9,0,0,0,
"Aug 17, 2025",10,9,0,1,0,
"Aug 18, 2025",107,105,0,1,0,
"Aug 19, 2025",259,249,0,2,0,
"Aug 20, 2025",117,113,0,1,0,
"Aug 21, 2025",161,157,0,0,0,Rollout of release: Started rollout of 8 (2.5.2) at 100%.
"Aug 22, 2025",142,141,0,0,0,
"Aug 23, 2025",35,32,0,3,0,
"Aug 24, 2025",33,33,0,0,0,
"Aug 25, 2025",100,94,1,1,0,
"Aug 26, 2025",146,137,1,2,1,Rollout of release: Started rollout of 9 (2.5.2) at 100%.
"Aug 27, 2025",149,149,0,0,0,
"Aug 28, 2025",168,163,1,1,1,
